epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.56,1.13344,1.8491,1.4399,0.74718,0.73913,0.77941,0.50267,1.0732,1.68342,1.43956,0.000664983,0.000664983,0.000664983
2,454.076,1.45601,1.82345,1.70336,0.73045,0.71304,0.74282,0.41289,1.31635,1.47693,1.56105,0.00128771,0.00128771,0.00128771
3,670.095,1.48028,1.69618,1.69878,0.81292,0.70435,0.7832,0.47928,1.31022,1.38405,1.61097,0.00186643,0.00186643,0.00186643
4,912.07,1.50388,1.64892,1.71907,0.81054,0.72543,0.81011,0.48725,1.292,1.2797,1.53601,0.001802,0.001802,0.001802
5,1172.08,1.42782,1.50873,1.66777,0.8808,0.67826,0.82519,0.56888,1.08873,1.11241,1.41321,0.001736,0.001736,0.001736
6,1373.93,1.39757,1.48411,1.63822,0.84641,0.72609,0.82665,0.51922,1.22148,1.11149,1.50785,0.00167,0.00167,0.00167
7,1568.74,1.33978,1.36431,1.59,0.85725,0.7833,0.88435,0.58398,1.10661,0.9596,1.43899,0.001604,0.001604,0.001604
8,1770.84,1.29663,1.30611,1.55356,0.91602,0.75882,0.88388,0.58926,1.08406,0.97993,1.41583,0.001538,0.001538,0.001538
9,1969.75,1.22438,1.24016,1.49986,0.875,0.76089,0.87644,0.59513,1.00902,0.9164,1.33671,0.001472,0.001472,0.001472
10,2169.12,1.18449,1.1958,1.47693,0.82009,0.77826,0.85997,0.54983,1.1039,1.02796,1.42003,0.001406,0.001406,0.001406
11,2369.63,1.17134,1.18532,1.44989,0.85273,0.79565,0.89018,0.62119,0.99224,0.89582,1.32017,0.00134,0.00134,0.00134
12,2569.59,1.14483,1.11921,1.44273,0.92626,0.7913,0.90505,0.62723,1.04498,0.79265,1.38834,0.001274,0.001274,0.001274
13,2767.96,1.07651,1.10134,1.3898,0.86353,0.8087,0.89695,0.6684,0.90537,0.8203,1.24847,0.001208,0.001208,0.001208
14,3030.23,1.08888,1.07275,1.4022,0.92667,0.83043,0.93457,0.68219,0.9013,0.7594,1.26405,0.001142,0.001142,0.001142
15,3249.71,1.03435,0.99133,1.35011,0.93525,0.81634,0.91985,0.68195,0.925,0.74541,1.28026,0.001076,0.001076,0.001076
16,3459.45,1.03261,0.97072,1.3571,0.90342,0.82174,0.93066,0.70185,0.85435,0.71308,1.22617,0.00101,0.00101,0.00101
17,3665.34,1.01124,0.94371,1.33769,0.94402,0.8087,0.92347,0.69581,0.84905,0.71689,1.22107,0.000944,0.000944,0.000944
18,3876.97,0.95749,0.90733,1.30602,0.91014,0.83671,0.92352,0.69465,0.86398,0.70947,1.22536,0.000878,0.000878,0.000878
19,4104.29,0.94265,0.88263,1.29331,0.94107,0.82609,0.93741,0.71393,0.83628,0.671,1.20746,0.000812,0.000812,0.000812
20,4325.46,0.91633,0.82718,1.27575,0.89843,0.84612,0.92932,0.69627,0.83222,0.68882,1.1898,0.000746,0.000746,0.000746
21,4565.5,0.91542,0.82752,1.26969,0.93395,0.83478,0.92687,0.71784,0.81701,0.67701,1.20988,0.00068,0.00068,0.00068
22,4812.98,0.88674,0.80337,1.25171,0.89092,0.8913,0.9451,0.70996,0.83821,0.65298,1.21387,0.000614,0.000614,0.000614
23,5068.45,0.87076,0.78957,1.23861,0.92222,0.87634,0.94745,0.72193,0.80649,0.62974,1.17152,0.000548,0.000548,0.000548
24,5282.16,0.84791,0.75741,1.22079,0.90777,0.86957,0.93695,0.71088,0.78825,0.62719,1.1827,0.000482,0.000482,0.000482
25,5481.43,0.84937,0.73787,1.2106,0.91039,0.88261,0.94763,0.73734,0.76517,0.61842,1.14817,0.000416,0.000416,0.000416
26,5680.27,0.81023,0.70814,1.19942,0.94901,0.83478,0.93521,0.75039,0.72875,0.58511,1.12039,0.00035,0.00035,0.00035
27,5898.7,0.79161,0.70559,1.18757,0.93237,0.85652,0.93834,0.74938,0.72809,0.59049,1.12809,0.000284,0.000284,0.000284
28,6123.99,0.77167,0.66173,1.1621,0.9472,0.85652,0.94615,0.7556,0.71729,0.57169,1.11397,0.000218,0.000218,0.000218
29,6382.62,0.75479,0.64575,1.15058,0.94729,0.86957,0.94778,0.75166,0.72826,0.57749,1.1396,0.000152,0.000152,0.000152
30,6650.3,0.73444,0.61522,1.14536,0.93557,0.86957,0.9431,0.75296,0.70597,0.57633,1.11841,8.6e-05,8.6e-05,8.6e-05
